http://www.homesellinginmass.net/2012/08/2012-massachusetts-tax-rates.html

Abington	15.14	15.14	15.14
Acton	18.08	18.08	18.08
Acushnet	11.41	13.94	13.94
Adams	16.00	18.97	18.97
Agawam	14.00	28.32	28.32
Alford	4.30	4.30	4.30
Amesbury	18.46	18.46	18.46
Amherst	18.20	18.20	18.20
Andover	14.12	22.46	22.46
Aquinnah	3.86	3.86	0.00
Arlington	12.41	12.41	12.41
Ashburnham	17.15	17.15	17.15
Ashby	14.90	14.90	14.90
Ashfield	13.94	13.94	13.94
Ashland	15.91	15.91	15.91
Athol	14.14	14.14	14.14
Attleboro	12.20	19.61	19.61
Auburn	15.38	24.33	24.33
Avon	12.27	25.96	25.96
Ayer	12.09	26.82	26.82
Barnstable	8.05	7.28	7.28
Barre	13.53	13.53	13.53
Becket	8.82	8.82	8.82
Bedford	14.33	31.76	31.76
Belchertown	15.65	15.65	15.65
Bellingham	13.11	16.01	16.01
Belmont	13.24	13.24	13.24
Berkley	11.01	11.01	11.01
Berlin	13.89	14.84	14.84
Bernardston	15.83	15.83	15.83
Beverly	12.41	22.59	22.59
Billerica	13.47	30.75	30.75
Blackstone	15.51	15.51	15.51
Blandford	13.28	13.28	13.28
Bolton	19.42	19.42	19.42
Boston	12.79	31.04	31.04
Bourne	8.21	8.21	8.21
Boxborough	17.38	17.38	17.38
Boxford	13.71	13.71	13.71
Boylston	15.66	15.66	15.66
Braintree	10.20	23.29	23.29
Brewster	6.94	6.94	6.94
Bridgewater	14.42	14.42	14.42
Brimfield	13.86	13.86	13.86
Brockton	15.29	29.55	29.55
Brookfield	14.51	14.51	14.51
Brookline	11.30	18.30	18.30
Buckland	14.11	14.11	14.11
Burlington	11.50	30.80	30.80
Cambridge	8.16	19.90	19.90
Canton	11.55	23.04	23.04
Carlisle	16.13	16.13	16.13
Carver	14.78	20.45	20.45
Charlemont	16.00	16.00	16.00
Charlton	11.57	11.57	11.57
Chatham	4.28	4.28	4.28
Chelmsford	16.72	16.72	16.72
Chelsea	12.92	30.60	30.60
Cheshire	9.45	9.45	9.45
Chester	18.64	18.64	18.64
Chesterfield	16.15	16.15	16.15
Chicopee	14.66	30.30	30.30
Chilmark	2.13	2.13	2.13
Clarksburg	11.11	11.11	11.11
Clinton	14.13	27.36	27.36
Cohasset	11.59	11.59	11.59
Colrain	14.90	14.90	14.90
Concord	13.19	13.19	13.19
Conway	12.98	12.98	12.98
Cummington	12.45	12.45	12.45
Dalton	17.38	17.38	17.38
Danvers	13.40	18.67	18.67
Dartmouth	8.44	12.90	12.90
Dedham	14.37	31.06	31.06
Deerfield	12.32	12.32	12.32
Dennis	5.59	5.59	5.59
Dighton	12.11	24.09	24.09
Douglas	13.31	13.31	13.31
Dover	11.70	11.70	11.70
Dracut	12.69	12.69	12.69
Dudley	10.56	10.56	10.56
Dunstable	14.62	14.62	14.62
Duxbury	12.60	12.60	12.60
Eastham	5.91	5.91	5.91
Easthampton	12.69	12.69	12.69
Easton	14.51	14.51	14.51
Edgartown	3.40	3.40	3.40
Egremont	7.13	7.13	7.13
Erving	7.24	12.53	12.53
Essex	13.62	13.62	13.62
Everett	15.89	43.74	43.74
Fairhaven	9.56	19.30	19.30
Falmouth	7.20	7.20	7.20
Fitchburg	16.20	21.60	21.60
Florida	8.08	23.92	23.92
Foxborough	12.94	12.94	12.94
Framingham	16.03	37.11	37.11
Franklin	12.95	12.95	12.95
Freetown	11.40	18.30	18.30
Gardner	15.67	15.67	15.67
Georgetown	11.67	11.67	11.67
Gill	13.90	13.90	13.90
Gloucester	11.31	12.08	12.08
Goshen	14.63	14.63	14.63
Gosnold	1.96	1.96	1.96
Grafton	13.63	13.63	13.63
Granby	14.98	14.98	14.98
Granville	11.90	11.90	11.90
Greenfield	18.14	18.14	18.14
Groton	16.38	16.38	16.38
Groveland	12.55	12.55	12.55
Hadley	9.92	9.92	9.92
Halifax	15.77	15.77	15.77
Hamilton	17.19	17.19	17.19
Hampden	15.64	15.64	15.64
Hancock	3.11	3.11	3.11
Hanover	14.18	14.71	14.71
Hanson	12.10	12.10	12.10
Hardwick	12.40	12.40	12.40
Harvard	15.47	15.47	15.47
Harwich	7.70	7.70	7.70
Hatfield	10.84	10.84	10.84
Haverhill	13.93	23.27	23.27
Hawley	14.65	14.65	0.00
Heath	18.83	18.83	18.83
Hingham	11.08	11.08	11.08
Hinsdale	11.42	11.42	11.42
Holbrook	17.36	33.44	33.44
Holden	15.65	15.65	15.65
Holland	14.58	14.58	14.58
Holliston	17.94	17.94	17.94
Holyoke	15.78	37.08	37.08
Hopedale	14.39	23.05	23.05
Hopkinton	16.73	16.73	16.73
Hubbardston	11.33	11.33	11.33
Hudson	14.16	26.19	26.19
Hull	12.35	12.35	0.00
Huntington	14.66	14.66	14.66
Ipswich	12.00	12.00	12.00
Kingston	14.65	14.65	14.65
Lakeville	11.20	11.20	11.20
Lancaster	17.13	17.13	17.13
Lanesborough	16.64	16.64	16.64
Lawrence	13.45	30.41	30.41
Lee	13.06	13.06	13.06
Leicester	12.44	12.44	12.44
Lenox	10.49	14.02	14.02
Leominster	15.41	15.41	15.41
Leverett	16.20	16.20	16.20
Lexington	14.40	27.28	27.28
Leyden	16.43	16.43	16.43
Lincoln	12.37	16.27	16.27
Littleton	15.33	24.40	24.40
Longmeadow	18.75	18.75	18.75
Lowell	14.27	29.73	29.73
Ludlow	15.70	15.70	15.70
Lunenburg	16.16	16.16	16.16
Lynn	16.22	32.41	32.41
Lynnfield	13.49	14.61	14.61
Malden	13.58	23.68	23.68
Mansfield	14.31	18.27	18.27
Marblehead	10.21	10.21	10.21
Marion	9.40	9.40	9.40
Marlborough	13.94	27.55	27.55
Marshfield	11.29	11.29	11.29
Mashpee	8.37	8.37	8.37
Mattapoisett	11.26	11.26	11.26
Maynard	17.50	26.91	26.91
Medfield	15.02	15.02	15.02
Medford	11.61	22.98	22.98
Medway	17.10	17.10	17.10
Melrose	12.46	19.01	19.01
